order_id,order_date,product_name,category,sub_category,region,city,channel,customer_segment,sales,profit,quantity,discount
RI-10001,2024-01-01,Task Lamp Mini,Accessories,Lighting,Central,Chicago,Wholesale,Corporate,187.58,19.8,3,0.099
RI-10002,2024-01-01,UltraWide Monitor,Technology,Displays,South,Atlanta,Retail,Home Office,615.07,135.1,2,0.037
RI-10003,2024-01-01,Ergo Office Chair,Furniture,Office Seating,South,Atlanta,Retail,Consumer,1415.28,453.46,6,0.072
RI-10004,2024-01-01,Conference Storage Unit,Furniture,Storage,East,Boston,Online,Consumer,866.48,153.5,3,0.187
RI-10005,2024-01-01,Portable Desk Hub,Technology,Computing,East,New York,Online,Consumer,391.87,77.81,2,0.039
RI-10006,2024-01-01,Wireless Dock Station,Technology,Accessories,South,Houston,Retail,Consumer,499.66,79.65,4,0.092
RI-10007,2024-01-01,Portable Desk Hub,Technology,Computing,Central,Dallas,Online,Consumer,438.21,69.41,3,0.112
RI-10008,2024-01-01,Signature Pen Set,Office Supplies,Writing,East,New York,Retail,Consumer,44.45,6.21,1,0.037
RI-10009,2024-01-01,Supply Kit Pro,Office Supplies,Paper,Central,Dallas,Retail,Corporate,51.29,6.94,1,0.063
RI-10010,2024-01-01,Conference Storage Unit,Furniture,Storage,East,Boston,Wholesale,Consumer,332.39,63.9,1,0.105
RI-10011,2024-01-01,Business Binder Pack,Office Supplies,Binders,Central,Dallas,Retail,Consumer,123.33,15.31,4,0.047
RI-10012,2024-01-01,Ergo Office Chair,Furniture,Office Seating,Central,Denver,Online,Consumer,509.29,154.21,2,0.104
RI-10013,2024-01-01,Wireless Dock Station,Technology,Accessories,East,New York,Retail,Consumer,134.2,27.15,1,0.014
RI-10014,2024-01-01,Archive Drawer Basic,Accessories,Storage,Central,Chicago,Online,Home Office,215.99,22.6,3,0.137
RI-10015,2024-01-01,Portable Desk Hub,Technology,Computing,West,Seattle,Online,Consumer,177.47,30.06,1,0.092
RI-10016,2024-01-01,Task Lamp Mini,Accessories,Lighting,Central,Denver,Retail,Consumer,179.71,16.35,3,0.18
RI-10017,2024-01-01,Ergo Office Chair,Furniture,Office Seating,East,Philadelphia,Online,Consumer,218.9,60.38,1,0.153
RI-10018,2024-01-01,Conference Storage Unit,Furniture,Storage,South,Atlanta,Retail,Consumer,555.96,134.57,2,0.069
RI-10019,2024-01-01,Wireless Dock Station,Technology,Accessories,Central,Chicago,Online,Corporate,571.05,110.18,5,0.031
RI-10020,2024-01-01,Portable Desk Hub,Technology,Computing,East,New York,Retail,Consumer,170.14,24.98,1,0.133
RI-10021,2024-01-01,Executive Desk,Furniture,Desks,Central,Chicago,Retail,Consumer,1038.06,236.26,3,0.168
RI-10022,2024-01-01,Executive Desk,Furniture,Desks,South,Atlanta,Online,Consumer,600.5,130.73,2,0.186
RI-10023,2024-01-01,Task Lamp Mini,Accessories,Lighting,East,New York,Online,Corporate,74.91,11.47,1,0.067
RI-10024,2024-01-02,Mobile Organizer,Accessories,Travel,South,Miami,Retail,Home Office,235.48,32.33,4,0.114
RI-10025,2024-01-02,Signature Pen Set,Office Supplies,Writing,Central,Dallas,Online,Corporate,35.96,5.38,1,0.019
RI-10026,2024-01-02,Executive Desk,Furniture,Desks,South,Houston,Online,Consumer,714.75,218.89,2,0.025
RI-10027,2024-01-02,Signature Pen Set,Office Supplies,Writing,South,Houston,Online,Consumer,37.99,4.3,1,0.085
RI-10028,2024-01-02,Executive Desk,Furniture,Desks,East,Boston,Retail,Corporate,430.82,122.94,1,0.063
RI-10029,2024-01-02,Signature Pen Set,Office Supplies,Writing,West,Seattle,Wholesale,Consumer,41.16,2.41,1,0.13
RI-10030,2024-01-02,Mobile Organizer,Accessories,Travel,East,New York,Wholesale,Consumer,106.24,11.69,2,0.109
RI-10031,2024-01-02,Executive Desk,Furniture,Desks,East,New York,Retail,Home Office,1621.19,512.54,4,0.007
RI-10032,2024-01-02,Ergo Office Chair,Furniture,Office Seating,West,Los Angeles,Wholesale,Corporate,256.78,74.57,1,0.072
RI-10033,2024-01-03,UltraWide Monitor,Technology,Displays,East,Philadelphia,Retail,Home Office,491.55,67.69,2,0.186
RI-10034,2024-01-03,Signature Pen Set,Office Supplies,Writing,South,Houston,Online,Consumer,81.16,8.66,2,0.097
RI-10035,2024-01-03,Portable Desk Hub,Technology,Computing,West,Los Angeles,Online,Consumer,199.08,42.59,1,0.011
RI-10036,2024-01-03,Ergo Office Chair,Furniture,Office Seating,West,Los Angeles,Online,Corporate,850.65,265.06,3,0.088
RI-10037,2024-01-03,Wireless Dock Station,Technology,Accessories,South,Miami,Online,Consumer,125.07,13.54,1,0.185
RI-10038,2024-01-03,UltraWide Monitor,Technology,Displays,West,Los Angeles,Online,Corporate,312.95,51.01,1,0.14
RI-10039,2024-01-03,Archive Drawer Basic,Accessories,Storage,West,Los Angeles,Wholesale,Home Office,354.01,31.1,4,0.113
RI-10040,2024-01-03,Signature Pen Set,Office Supplies,Writing,West,Los Angeles,Retail,Corporate,178.0,28.48,4,0.0
RI-10041,2024-01-03,Business Binder Pack,Office Supplies,Binders,West,San Francisco,Online,Consumer,39.14,5.81,1,0.003
